[20-11-2018 17:38:16] sorendam1 reached 33 CPS, VL=1
[20-11-2018 17:38:18] sorendam1 reached 21 CPS, VL=1
[20-11-2018 17:38:21] sorendam1 reached 22 CPS, VL=1
[20-11-2018 17:38:22] sorendam1 reached 24 CPS, VL=2
[20-11-2018 17:38:23] sorendam1 reached 23 CPS, VL=3
[20-11-2018 17:38:24] sorendam1 reached 23 CPS, VL=4
[20-11-2018 17:38:25] sorendam1 reached 23 CPS, VL=1
[20-11-2018 17:38:28] sorendam1 reached 25 CPS, VL=1
[20-11-2018 17:38:29] sorendam1 reached 25 CPS, VL=2
[20-11-2018 17:38:30] sorendam1 reached 21 CPS, VL=3
[20-11-2018 17:38:31] sorendam1 reached 24 CPS, VL=4
[20-11-2018 17:38:34] sorendam1 reached 25 CPS, VL=1
[20-11-2018 17:38:35] sorendam1 reached 20 CPS, VL=2
