[21-11-2018 17:51:46] Itzpandapvpmc reached 27 CPS, VL=1
[21-11-2018 17:52:18] gamer_konge reached 21 CPS, VL=1
[21-11-2018 17:54:24] Itzpandapvpmc reached 18 CPS, VL=1
[21-11-2018 17:54:57] tobias20007 reached 21 CPS, VL=1
[21-11-2018 17:54:57] Cr4zyD3rp reached 33 CPS, VL=1
[21-11-2018 17:54:57] DoDoTheGud reached 19 CPS, VL=1
[21-11-2018 17:55:28] 2bi2bi reached 32 CPS, VL=1
[21-11-2018 17:55:28] Itzpandapvpmc reached 21 CPS, VL=1
[21-11-2018 17:55:59] 2bi2bi reached 18 CPS, VL=1
[21-11-2018 17:57:01] J0nesMc reached 18 CPS, VL=1
[21-11-2018 17:57:01] Tobias1008 reached 19 CPS, VL=1
[21-11-2018 17:58:03] Itzpandapvpmc reached 25 CPS, VL=1
[21-11-2018 17:59:07] TheDalle reached 29 CPS, VL=1
[21-11-2018 17:59:07] Mqssing reached 24 CPS, VL=1
[21-11-2018 17:59:07] Tobias1008 reached 24 CPS, VL=1
[21-11-2018 17:59:38] Itzpandapvpmc reached 22 CPS, VL=1
[21-11-2018 18:00:40] spillekongen20 reached 20 CPS, VL=1
[21-11-2018 18:01:41] Mavsi reached 18 CPS, VL=1
[21-11-2018 18:01:41] J0nesMc reached 22 CPS, VL=1
[21-11-2018 18:01:58] 2bi2bi reached 19 CPS, VL=1
[21-11-2018 18:02:13] 2bi2bi reached 32 CPS, VL=1
[21-11-2018 18:02:13] Itzpandapvpmc reached 26 CPS, VL=1
[21-11-2018 18:02:31] 2bi2bi reached 19 CPS, VL=1
[21-11-2018 18:02:35] 2bi2bi reached 18 CPS, VL=1
[21-11-2018 18:02:38] 2bi2bi reached 18 CPS, VL=1
[21-11-2018 18:02:44] 2bi2bi reached 20 CPS, VL=1
[21-11-2018 18:03:29] 2bi2bi reached 18 CPS, VL=1
[21-11-2018 18:04:16] SuperWilliam2005 reached 18 CPS, VL=1
[21-11-2018 18:10:29] bigtruck_88 reached 18 CPS, VL=1
[21-11-2018 18:15:25] daniel1639 reached 18 CPS, VL=1
[21-11-2018 18:18:57] sorendam1 reached 20 CPS, VL=1
[21-11-2018 18:19:29] DoDoTheGud reached 22 CPS, VL=1
[21-11-2018 18:32:20] 2bi2bi reached 18 CPS, VL=1
[21-11-2018 18:32:21] 2bi2bi reached 18 CPS, VL=2
[21-11-2018 18:32:22] 2bi2bi reached 18 CPS, VL=3
[21-11-2018 18:32:23] 2bi2bi reached 19 CPS, VL=4
[21-11-2018 18:32:24] 2bi2bi reached 18 CPS, VL=1
[21-11-2018 18:33:08] 2bi2bi reached 19 CPS, VL=1
[21-11-2018 18:54:50] ZebraEu reached 19 CPS, VL=1
[21-11-2018 18:55:31] ZebraEu reached 19 CPS, VL=1
[21-11-2018 18:55:43] ZebraEu reached 20 CPS, VL=1
[21-11-2018 18:56:05] ZebraEu reached 19 CPS, VL=1
[21-11-2018 19:35:00] Farmerbenny reached 33 CPS, VL=1
[21-11-2018 19:39:13] Mavsi reached 25 CPS, VL=1
[21-11-2018 19:40:53] JakobHvilsted reached 18 CPS, VL=1
[21-11-2018 19:40:54] JakobHvilsted reached 114 CPS, VL=2
[21-11-2018 19:41:14] Mavsi reached 18 CPS, VL=1
[21-11-2018 19:41:14] FartFrede reached 20 CPS, VL=1
[21-11-2018 19:41:46] Mavsi reached 25 CPS, VL=1
[21-11-2018 19:41:46] LauraaMC reached 26 CPS, VL=1
[21-11-2018 19:42:18] Mavsi reached 20 CPS, VL=1
[21-11-2018 19:44:53] Mavsi reached 22 CPS, VL=1
[21-11-2018 19:47:29] thor_bjoernen reached 18 CPS, VL=1
[21-11-2018 19:49:54] Mavsi reached 28 CPS, VL=1
[21-11-2018 19:55:46] AhmetStyle_TR reached 26 CPS, VL=1
[21-11-2018 19:55:46] HjaxGaming reached 32 CPS, VL=1
[21-11-2018 19:57:48] thor_bjoernen reached 18 CPS, VL=1
[21-11-2018 19:59:52] casppiii reached 19 CPS, VL=1
[21-11-2018 20:00:57] Fortid reached 36 CPS, VL=1
[21-11-2018 20:00:57] DK_Barild reached 39 CPS, VL=1
[21-11-2018 20:02:00] thor_bjoernen reached 32 CPS, VL=1
[21-11-2018 20:02:00] casppiii reached 21 CPS, VL=1
[21-11-2018 20:03:32] sorendam1 reached 18 CPS, VL=1
[21-11-2018 20:05:12] thor_bjoernen reached 18 CPS, VL=1
[21-11-2018 20:06:10] Antonhero12345 reached 53 CPS, VL=1
[21-11-2018 20:06:10] mkrohn reached 42 CPS, VL=1
[21-11-2018 20:06:10] Mqssing reached 62 CPS, VL=1
[21-11-2018 20:06:42] Shark6378 reached 33 CPS, VL=1
[21-11-2018 20:07:15] thor_bjoernen reached 18 CPS, VL=1
[21-11-2018 20:07:15] Mqssing reached 28 CPS, VL=1
[21-11-2018 20:08:21] ECOdk reached 23 CPS, VL=1
[21-11-2018 20:08:58] ECOdk reached 71 CPS, VL=1
[21-11-2018 20:08:58] thor_bjoernen reached 44 CPS, VL=1
[21-11-2018 20:08:58] Shark6378 reached 81 CPS, VL=1
[21-11-2018 20:08:58] Mqssing reached 23 CPS, VL=1
[21-11-2018 20:09:11] Simonvetsi reached 19 CPS, VL=1
[21-11-2018 20:09:21] Simonvetsi reached 22 CPS, VL=1
[21-11-2018 20:09:28] Simonvetsi reached 18 CPS, VL=1
[21-11-2018 20:09:32] Simonvetsi reached 50 CPS, VL=2
[21-11-2018 20:09:32] ECOdk reached 18 CPS, VL=1
[21-11-2018 20:09:32] Philipsd2007 reached 28 CPS, VL=1
[21-11-2018 20:09:32] CoderPlaysMC reached 26 CPS, VL=1
[21-11-2018 20:09:32] Mqssing reached 26 CPS, VL=1
[21-11-2018 20:10:06] CoderPlaysMC reached 21 CPS, VL=1
[21-11-2018 20:10:06] Shark6378 reached 33 CPS, VL=1
[21-11-2018 20:10:06] Mqssing reached 56 CPS, VL=1
[21-11-2018 20:11:09] CoderPlaysMC reached 18 CPS, VL=1
[21-11-2018 20:11:47] ECOdk reached 24 CPS, VL=1
[21-11-2018 20:11:47] zippo_pvp reached 49 CPS, VL=1
[21-11-2018 20:11:47] CoderPlaysMC reached 33 CPS, VL=1
[21-11-2018 20:11:47] Shark6378 reached 20 CPS, VL=1
[21-11-2018 20:11:47] Mqssing reached 57 CPS, VL=1
